corp_code,corp_name,year,rcept_no,rcept_dt,report_nm,MaterialCorrection,MaterialKeywordHits,MaterialKeywords
01204056,하이브,2024,20240322001002,20240322,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
01428203,케이씨씨글라스,2022,20220713000282,20220713,[기재정정]사업보고서 (2021.12),0,0,
01428203,케이씨씨글라스,2022,20220318000967,20220318,[기재정정]사업보고서 (2021.12),0,0,
01428203,케이씨씨글라스,2024,20240328001643,20240328,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00450010,씨티알모빌리티,2022,20220412002470,20220412,[기재정정]사업보고서 (2021.12),0,0,
00450010,씨티알모빌리티,2023,20230710000268,20230710,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
01199550,HD현대에너지솔루션,2020,20200514001143,20200514,[기재정정]사업보고서 (2019.12),0,0,
01199550,HD현대에너지솔루션,2021,20210331002946,20210331,[첨부정정]사업보고서 (2020.12),0,0,
01199550,HD현대에너지솔루션,2022,20220318001065,20220318,[기재정정]사업보고서 (2021.12),0,0,
00339391,한화시스템,2021,20210511000265,20210511,[기재정정]사업보고서 (2020.12),0,0,
00339391,한화시스템,2022,20220516000217,20220516,[기재정정]사업보고서 (2021.12),0,0,
00339391,한화시스템,2022,20220316001020,20220316,[기재정정]사업보고서 (2021.12),0,0,
00339391,한화시스템,2023,20230411001656,20230411,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00339391,한화시스템,2023,20230331002782,20230331,[첨부정정]사업보고서 (2022.12),0,0,
00339391,한화시스템,2024,20240516000399,20240516,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00339391,한화시스템,2024,20240328001714,20240328,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00150633,지누스,2018,20180402005389,20180402,[기재정정]사업보고서 (2017.12),0,0,
00150633,지누스,2019,20190821000526,20190821,[기재정정]사업보고서 (2017.12),0,0,
00150633,지누스,2019,20190814002813,20190814,[기재정정]사업보고서 (2018.12),0,0,
00150633,지누스,2019,20190814002502,20190814,[기재정정]사업보고서 (2016.12),0,0,
00150633,지누스,2019,20190814002263,20190814,[기재정정]사업보고서 (2015.12),0,0,
00150633,지누스,2024,20240425000282,20240425,[기재정정]사업보고서 (2023.12),1,28,감사용역|감사위원|감사의견|감사인|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
